subject_id,block,trial_id,angle,char_type,rt,correct,timestamp
S016,0,1,300,mirror,1056,1,2026-05-25T08:00:00Z
S016,0,2,60,mirror,988,1,2026-05-25T08:00:02.155832Z
S016,0,3,300,normal,704,1,2026-05-25T08:00:04.526861Z
S016,0,4,300,mirror,996,1,2026-05-25T08:00:06.695736Z
S016,0,5,120,normal,1087,1,2026-05-25T08:00:09.126270Z
S016,0,6,0,normal,695,1,2026-05-25T08:00:11.574177Z
S016,0,7,60,mirror,963,1,2026-05-25T08:00:13.995788Z
S016,0,8,60,normal,788,1,2026-05-25T08:00:16.641051Z
S016,0,9,120,mirror,1003,1,2026-05-25T08:00:19.519069Z
S016,0,10,0,normal,667,1,2026-05-25T08:00:21.870715Z
S016,0,11,120,normal,924,1,2026-05-25T08:00:24.781180Z
S016,0,12,180,mirror,1405,1,2026-05-25T08:00:27.316647Z
S016,0,13,180,normal,1147,1,2026-05-25T08:00:29.627140Z
S016,0,14,0,mirror,756,1,2026-05-25T08:00:32.257755Z
S016,0,15,240,normal,978,1,2026-05-25T08:00:34.760397Z
S016,0,16,300,normal,807,1,2026-05-25T08:00:37.173415Z
S016,0,17,60,normal,872,1,2026-05-25T08:00:40.110067Z
S016,0,18,0,mirror,724,1,2026-05-25T08:00:42.241518Z
S016,0,19,180,normal,1277,1,2026-05-25T08:00:44.966769Z
S016,0,20,240,normal,872,1,2026-05-25T08:00:46.985126Z
S016,0,21,180,mirror,1179,1,2026-05-25T08:00:49.763918Z
S016,0,22,120,mirror,1071,1,2026-05-25T08:00:52.515882Z
S016,0,23,240,mirror,1066,1,2026-05-25T08:00:54.664315Z
S016,0,24,240,mirror,1132,1,2026-05-25T08:00:57.037653Z
S016,1,1,60,normal,751,1,2026-05-25T08:00:59.780559Z
S016,1,2,0,normal,448,1,2026-05-25T08:01:01.977697Z
S016,1,3,60,mirror,913,1,2026-05-25T08:01:04.952007Z
S016,1,4,300,mirror,783,1,2026-05-25T08:01:07.602944Z
S016,1,5,120,normal,839,1,2026-05-25T08:01:10.378556Z
S016,1,6,60,mirror,781,1,2026-05-25T08:01:13.180700Z
S016,1,7,300,mirror,781,1,2026-05-25T08:01:15.912591Z
S016,1,8,60,mirror,790,1,2026-05-25T08:01:17.981132Z
