subject_id,block,trial_id,angle,char_type,rt,correct,timestamp
S021,0,1,180,mirror,1284,1,2026-05-30T08:00:00Z
S021,0,2,0,mirror,873,1,2026-05-30T08:00:02.774363Z
S021,0,3,300,mirror,794,1,2026-05-30T08:00:05.272384Z
S021,0,4,180,normal,1204,1,2026-05-30T08:00:07.732401Z
S021,0,5,300,normal,759,1,2026-05-30T08:00:09.885455Z
S021,0,6,60,mirror,859,1,2026-05-30T08:00:12.438943Z
S021,0,7,0,normal,525,1,2026-05-30T08:00:14.475855Z
S021,0,8,300,mirror,874,0,2026-05-30T08:00:17.130594Z
S021,0,9,0,normal,630,1,2026-05-30T08:00:19.496190Z
S021,0,10,120,normal,1084,1,2026-05-30T08:00:21.653684Z
S021,0,11,60,normal,913,1,2026-05-30T08:00:24.189200Z
S021,0,12,300,normal,862,1,2026-05-30T08:00:26.603577Z
S021,0,13,120,mirror,983,1,2026-05-30T08:00:28.739484Z
S021,0,14,0,mirror,716,1,2026-05-30T08:00:31.429099Z
S021,0,15,120,normal,995,1,2026-05-30T08:00:33.483217Z
S021,0,16,60,mirror,1053,1,2026-05-30T08:00:36.096108Z
S021,0,17,180,normal,1131,1,2026-05-30T08:00:38.317398Z
S021,0,18,180,mirror,1207,1,2026-05-30T08:00:40.555495Z
S021,0,19,120,mirror,1108,1,2026-05-30T08:00:42.914596Z
S021,0,20,240,normal,1042,0,2026-05-30T08:00:45.679595Z
S021,0,21,240,mirror,957,1,2026-05-30T08:00:47.909292Z
S021,0,22,240,mirror,1103,0,2026-05-30T08:00:50.210619Z
S021,0,23,240,normal,1007,1,2026-05-30T08:00:52.424084Z
S021,0,24,60,normal,611,1,2026-05-30T08:00:54.675839Z
S021,1,1,0,mirror,715,1,2026-05-30T08:00:56.869735Z
S021,1,2,120,mirror,996,1,2026-05-30T08:00:58.894342Z
S021,1,3,0,normal,606,1,2026-05-30T08:01:01.162099Z
S021,1,4,120,normal,904,1,2026-05-30T08:01:03.987895Z
S021,1,5,240,mirror,917,1,2026-05-30T08:01:06.475627Z
S021,1,6,0,normal,618,1,2026-05-30T08:01:08.499651Z
S021,1,7,60,normal,680,1,2026-05-30T08:01:10.639568Z
S021,1,8,300,normal,699,1,2026-05-30T08:01:13.311759Z
S021,1,9,240,mirror,1048,1,2026-05-30T08:01:15.653976Z
S021,1,10,60,normal,759,1,2026-05-30T08:01:18.540690Z
S021,1,11,60,mirror,708,1,2026-05-30T08:01:20.899361Z
S021,1,12,180,mirror,1149,1,2026-05-30T08:01:23.715515Z
S021,1,13,0,mirror,581,1,2026-05-30T08:01:26.042037Z
S021,1,14,60,normal,672,1,2026-05-30T08:01:28.060027Z
S021,1,15,240,normal,816,1,2026-05-30T08:01:30.936508Z
S021,1,16,300,mirror,845,1,2026-05-30T08:01:33.884585Z
S021,1,17,300,mirror,822,1,2026-05-30T08:01:36.368651Z
S021,1,18,0,normal,556,1,2026-05-30T08:01:38.617472Z
S021,1,19,240,mirror,947,1,2026-05-30T08:01:41.090648Z
S021,1,20,60,mirror,782,1,2026-05-30T08:01:43.275194Z
S021,1,21,300,mirror,753,1,2026-05-30T08:01:45.596018Z
S021,1,22,0,normal,585,1,2026-05-30T08:01:47.958122Z
S021,1,23,0,mirror,657,0,2026-05-30T08:01:50.071856Z
S021,1,24,240,normal,863,1,2026-05-30T08:01:52.671604Z
S021,1,25,240,mirror,1010,1,2026-05-30T08:01:55.319103Z
S021,1,26,180,mirror,1093,1,2026-05-30T08:01:57.605113Z
S021,1,27,0,mirror,646,1,2026-05-30T08:02:00.592114Z
S021,1,28,240,normal,841,1,2026-05-30T08:02:02.760942Z
S021,1,29,180,normal,1143,1,2026-05-30T08:02:05.585368Z
S021,1,30,120,normal,904,1,2026-05-30T08:02:07.897083Z
S021,1,31,240,mirror,997,1,2026-05-30T08:02:10.754859Z
S021,1,32,300,mirror,804,1,2026-05-30T08:02:13.432246Z
S021,1,33,180,mirror,1055,1,2026-05-30T08:02:15.450216Z
S021,1,34,180,normal,1143,1,2026-05-30T08:02:18.088659Z
S021,1,35,0,normal,533,1,2026-05-30T08:02:20.695346Z
S021,1,36,300,normal,692,1,2026-05-30T08:02:23.148997Z
S021,1,37,300,normal,789,1,2026-05-30T08:02:25.910557Z
S021,1,38,180,normal,1065,1,2026-05-30T08:02:28.256202Z
S021,1,39,120,mirror,973,1,2026-05-30T08:02:30.540092Z
S021,1,40,120,mirror,989,1,2026-05-30T08:02:33.045126Z
S021,1,41,0,normal,472,1,2026-05-30T08:02:35.940785Z
S021,1,42,120,normal,859,1,2026-05-30T08:02:38.603879Z
S021,1,43,60,normal,703,1,2026-05-30T08:02:40.899419Z
S021,1,44,180,mirror,1130,1,2026-05-30T08:02:43.393034Z
S021,1,45,120,mirror,1041,1,2026-05-30T08:02:45.919380Z
S021,1,46,0,mirror,625,1,2026-05-30T08:02:48.013645Z
S021,1,47,300,normal,649,1,2026-05-30T08:02:50.494152Z
S021,1,48,0,mirror,703,1,2026-05-30T08:02:52.587148Z
S021,1,49,180,normal,1084,1,2026-05-30T08:02:55.066359Z
S021,1,50,180,mirror,1228,1,2026-05-30T08:02:57.286500Z
S021,1,51,60,normal,729,1,2026-05-30T08:02:59.641026Z
S021,1,52,300,normal,774,1,2026-05-30T08:03:01.796856Z
S021,1,53,60,mirror,855,1,2026-05-30T08:03:03.866139Z
S021,1,54,120,normal,860,0,2026-05-30T08:03:06.123044Z
S021,1,55,120,normal,816,1,2026-05-30T08:03:09.087960Z
S021,1,56,240,mirror,993,1,2026-05-30T08:03:11.295923Z
S021,1,57,240,normal,968,1,2026-05-30T08:03:13.563051Z
S021,1,58,60,normal,764,1,2026-05-30T08:03:16.399903Z
S021,1,59,120,mirror,932,1,2026-05-30T08:03:18.852151Z
S021,1,60,300,mirror,824,1,2026-05-30T08:03:20.961124Z
S021,1,61,300,mirror,857,1,2026-05-30T08:03:23.095399Z
S021,1,62,0,mirror,663,1,2026-05-30T08:03:25.443143Z
S021,1,63,240,mirror,950,1,2026-05-30T08:03:27.919683Z
S021,1,64,60,normal,692,1,2026-05-30T08:03:30.736453Z
S021,1,65,180,mirror,1085,1,2026-05-30T08:03:33.616002Z
S021,1,66,60,mirror,721,0,2026-05-30T08:03:36.243095Z
S021,1,67,240,normal,871,1,2026-05-30T08:03:39.223886Z
S021,1,68,300,normal,714,1,2026-05-30T08:03:41.457232Z
S021,1,69,240,mirror,983,1,2026-05-30T08:03:44.328549Z
S021,1,70,120,mirror,959,1,2026-05-30T08:03:46.624865Z
S021,1,71,300,mirror,932,1,2026-05-30T08:03:49.361492Z
S021,1,72,120,mirror,1000,1,2026-05-30T08:03:51.803146Z
S021,1,73,60,mirror,890,1,2026-05-30T08:03:54.740616Z
S021,1,74,180,normal,1075,1,2026-05-30T08:03:57.721870Z
S021,1,75,60,mirror,762,1,2026-05-30T08:04:00.287446Z
S021,1,76,240,mirror,1029,1,2026-05-30T08:04:03.266693Z
S021,1,77,120,mirror,1005,1,2026-05-30T08:04:05.632292Z
S021,1,78,300,mirror,781,1,2026-05-30T08:04:07.853670Z
S021,1,79,300,normal,734,1,2026-05-30T08:04:10.490582Z
S021,1,80,60,normal,661,1,2026-05-30T08:04:13.340049Z
S021,1,81,120,mirror,924,1,2026-05-30T08:04:15.623317Z
S021,1,82,240,normal,916,1,2026-05-30T08:04:18.427230Z
S021,1,83,120,normal,875,1,2026-05-30T08:04:21.265614Z
S021,1,84,240,mirror,1118,0,2026-05-30T08:04:23.400027Z
S021,1,85,240,normal,870,1,2026-05-30T08:04:26.247929Z
