subject_id,block,trial_id,angle,char_type,rt,correct,timestamp
S007,0,1,240,mirror,1093,1,2026-05-16T08:00:00Z
S007,0,2,0,mirror,866,1,2026-05-16T08:00:02.744349Z
S007,0,3,300,mirror,951,1,2026-05-16T08:00:04.954960Z
S007,0,4,60,normal,854,1,2026-05-16T08:00:06.984186Z
S007,0,5,0,mirror,703,1,2026-05-16T08:00:09.359537Z
S007,0,6,180,normal,1279,1,2026-05-16T08:00:12.010612Z
S007,0,7,120,normal,1013,1,2026-05-16T08:00:14.131234Z
S007,0,8,120,mirror,1108,1,2026-05-16T08:00:16.448749Z
S007,0,9,120,normal,918,1,2026-05-16T08:00:19.213984Z
S007,0,10,0,normal,629,1,2026-05-16T08:00:21.405121Z
S007,0,11,120,mirror,1146,0,2026-05-16T08:00:24.207721Z
S007,0,12,240,normal,985,1,2026-05-16T08:00:26.933809Z
S007,0,13,180,normal,1105,1,2026-05-16T08:00:29.585055Z
S007,0,14,300,normal,792,1,2026-05-16T08:00:32.302846Z
S007,0,15,60,normal,846,1,2026-05-16T08:00:34.852240Z
S007,0,16,180,mirror,1394,1,2026-05-16T08:00:36.946523Z
S007,0,17,240,mirror,1137,1,2026-05-16T08:00:39.145883Z
S007,0,18,180,mirror,1193,1,2026-05-16T08:00:41.258889Z
S007,0,19,0,normal,694,1,2026-05-16T08:00:44.176091Z
S007,0,20,300,normal,756,1,2026-05-16T08:00:46.663827Z
S007,0,21,300,mirror,891,1,2026-05-16T08:00:49.494554Z
S007,0,22,60,mirror,894,1,2026-05-16T08:00:51.495400Z
S007,0,23,60,mirror,917,1,2026-05-16T08:00:54.267097Z
S007,0,24,240,normal,1033,1,2026-05-16T08:00:57.256614Z
S007,1,1,240,mirror,966,1,2026-05-16T08:00:59.773608Z
S007,1,2,60,normal,660,1,2026-05-16T08:01:01.867901Z
S007,1,3,300,mirror,793,1,2026-05-16T08:01:04.865184Z
S007,1,4,60,normal,773,1,2026-05-16T08:01:07.814731Z
S007,1,5,120,normal,770,1,2026-05-16T08:01:10.359276Z
S007,1,6,240,normal,862,1,2026-05-16T08:01:12.673213Z
S007,1,7,60,mirror,792,1,2026-05-16T08:01:15.193815Z
S007,1,8,0,mirror,571,1,2026-05-16T08:01:17.846398Z
S007,1,9,240,normal,911,1,2026-05-16T08:01:19.880824Z
S007,1,10,60,normal,681,1,2026-05-16T08:01:22.170758Z
S007,1,11,120,normal,807,1,2026-05-16T08:01:24.590673Z
S007,1,12,60,mirror,841,1,2026-05-16T08:01:27.218897Z
S007,1,13,300,mirror,762,1,2026-05-16T08:01:30.024627Z
S007,1,14,0,normal,607,1,2026-05-16T08:01:32.574976Z
S007,1,15,0,mirror,669,1,2026-05-16T08:01:34.802350Z
S007,1,16,240,mirror,910,1,2026-05-16T08:01:36.829523Z
S007,1,17,240,mirror,980,1,2026-05-16T08:01:39.213249Z
S007,1,18,0,mirror,568,1,2026-05-16T08:01:41.534209Z
S007,1,19,240,mirror,1010,1,2026-05-16T08:01:44.254782Z
S007,1,20,60,normal,723,1,2026-05-16T08:01:46.528730Z
S007,1,21,60,mirror,799,1,2026-05-16T08:01:48.925119Z
S007,1,22,180,normal,1072,1,2026-05-16T08:01:51.420370Z
S007,1,23,180,mirror,1175,1,2026-05-16T08:01:54.409670Z
S007,1,24,60,mirror,747,1,2026-05-16T08:01:56.768226Z
S007,1,25,240,normal,794,1,2026-05-16T08:01:59.280485Z
S007,1,26,180,normal,1056,1,2026-05-16T08:02:01.426730Z
S007,1,27,0,normal,600,1,2026-05-16T08:02:04.096754Z
S007,1,28,180,normal,1042,1,2026-05-16T08:02:06.149954Z
S007,1,29,240,normal,889,1,2026-05-16T08:02:08.226326Z
S007,1,30,0,normal,475,1,2026-05-16T08:02:10.989825Z
S007,1,31,60,mirror,801,1,2026-05-16T08:02:13.001176Z
S007,1,32,0,normal,564,1,2026-05-16T08:02:15.442127Z
S007,1,33,300,mirror,917,1,2026-05-16T08:02:18.297977Z
S007,1,34,120,normal,879,1,2026-05-16T08:02:20.373311Z
S007,1,35,240,normal,862,1,2026-05-16T08:02:22.968229Z
S007,1,36,120,normal,857,1,2026-05-16T08:02:25.512479Z
