subject_id,block,trial_id,angle,char_type,rt,correct,timestamp
S022,0,1,240,mirror,1055,1,2026-05-31T08:00:00Z
S022,0,2,180,mirror,1013,1,2026-05-31T08:00:02.980547Z
S022,0,3,180,mirror,1107,1,2026-05-31T08:00:05.237629Z
S022,0,4,300,normal,827,0,2026-05-31T08:00:07.691979Z
S022,0,5,120,normal,1076,0,2026-05-31T08:00:10.465032Z
S022,0,6,240,normal,1000,1,2026-05-31T08:00:13.220214Z
S022,0,7,0,normal,549,1,2026-05-31T08:00:15.751185Z
S022,0,8,60,normal,741,1,2026-05-31T08:00:18.614423Z
S022,0,9,180,normal,996,1,2026-05-31T08:00:20.674564Z
S022,0,10,240,mirror,1087,1,2026-05-31T08:00:23.471223Z
S022,0,11,0,normal,695,1,2026-05-31T08:00:25.938604Z
S022,0,12,180,normal,1075,1,2026-05-31T08:00:28.607957Z
S022,0,13,120,mirror,1108,1,2026-05-31T08:00:30.692693Z
S022,0,14,120,normal,860,1,2026-05-31T08:00:33.216414Z
S022,0,15,60,normal,723,1,2026-05-31T08:00:35.546843Z
S022,0,16,300,mirror,978,1,2026-05-31T08:00:37.779067Z
S022,0,17,60,mirror,902,1,2026-05-31T08:00:40.753266Z
S022,0,18,0,mirror,779,1,2026-05-31T08:00:42.758809Z
S022,0,19,60,mirror,839,0,2026-05-31T08:00:44.986128Z
S022,0,20,300,mirror,858,1,2026-05-31T08:00:47.440794Z
S022,0,21,120,mirror,1128,1,2026-05-31T08:00:49.777319Z
S022,0,22,240,normal,1051,1,2026-05-31T08:00:52.606579Z
S022,0,23,300,normal,784,1,2026-05-31T08:00:54.985749Z
S022,0,24,0,mirror,851,1,2026-05-31T08:00:57.626298Z
S022,1,1,300,mirror,835,1,2026-05-31T08:01:00.460473Z
S022,1,2,180,normal,1149,1,2026-05-31T08:01:03.331275Z
S022,1,3,0,normal,511,1,2026-05-31T08:01:06.031379Z
S022,1,4,180,mirror,1122,1,2026-05-31T08:01:08.399868Z
S022,1,5,0,mirror,689,1,2026-05-31T08:01:10.753274Z
S022,1,6,60,normal,818,1,2026-05-31T08:01:13.163733Z
S022,1,7,300,mirror,809,1,2026-05-31T08:01:15.765244Z
S022,1,8,240,mirror,1052,1,2026-05-31T08:01:18.565682Z
S022,1,9,60,normal,632,1,2026-05-31T08:01:20.701993Z
S022,1,10,120,mirror,983,1,2026-05-31T08:01:22.923805Z
S022,1,11,120,mirror,908,1,2026-05-31T08:01:25.305155Z
S022,1,12,0,mirror,671,1,2026-05-31T08:01:27.871201Z
S022,1,13,180,mirror,1252,1,2026-05-31T08:01:29.998834Z
S022,1,14,60,normal,743,1,2026-05-31T08:01:32.991729Z
S022,1,15,60,mirror,764,1,2026-05-31T08:01:35.745965Z
S022,1,16,240,normal,852,1,2026-05-31T08:01:38.024003Z
S022,1,17,0,normal,536,1,2026-05-31T08:01:40.226165Z
S022,1,18,240,normal,857,1,2026-05-31T08:01:42.310082Z
S022,1,19,240,normal,907,1,2026-05-31T08:01:44.535765Z
S022,1,20,0,mirror,679,1,2026-05-31T08:01:47.264266Z
S022,1,21,60,normal,689,1,2026-05-31T08:01:49.629377Z
S022,1,22,60,mirror,857,1,2026-05-31T08:01:51.937056Z
S022,1,23,120,normal,893,1,2026-05-31T08:01:54.636905Z
S022,1,24,60,normal,688,1,2026-05-31T08:01:57.235230Z
S022,1,25,120,mirror,1002,1,2026-05-31T08:01:59.238412Z
S022,1,26,300,mirror,818,1,2026-05-31T08:02:01.679590Z
S022,1,27,120,normal,865,1,2026-05-31T08:02:03.853987Z
S022,1,28,180,normal,987,1,2026-05-31T08:02:05.923271Z
S022,1,29,300,mirror,842,1,2026-05-31T08:02:08.394829Z
S022,1,30,60,normal,683,1,2026-05-31T08:02:11.174306Z
S022,1,31,0,normal,532,1,2026-05-31T08:02:14.143476Z
S022,1,32,180,normal,929,1,2026-05-31T08:02:17.045316Z
S022,1,33,300,normal,825,1,2026-05-31T08:02:19.551919Z
S022,1,34,180,mirror,1087,1,2026-05-31T08:02:22.032038Z
S022,1,35,120,normal,829,1,2026-05-31T08:02:24.918185Z
S022,1,36,180,normal,1032,1,2026-05-31T08:02:27.305506Z
S022,1,37,240,normal,853,1,2026-05-31T08:02:29.964575Z
S022,1,38,240,normal,878,1,2026-05-31T08:02:32.517714Z
S022,1,39,120,normal,872,1,2026-05-31T08:02:34.630455Z
S022,1,40,60,normal,678,1,2026-05-31T08:02:37.410963Z
S022,1,41,60,mirror,742,1,2026-05-31T08:02:40.242813Z
S022,1,42,240,mirror,1012,1,2026-05-31T08:02:43.161365Z
S022,1,43,180,mirror,1138,1,2026-05-31T08:02:46.129956Z
S022,1,44,0,mirror,701,1,2026-05-31T08:02:48.142045Z
S022,1,45,60,normal,716,1,2026-05-31T08:02:50.450623Z
S022,1,46,120,normal,861,1,2026-05-31T08:02:53.435393Z
S022,1,47,0,normal,440,1,2026-05-31T08:02:55.773631Z
S022,1,48,120,mirror,1052,1,2026-05-31T08:02:58.439874Z
S022,1,49,240,mirror,965,1,2026-05-31T08:03:01.201233Z
S022,1,50,60,mirror,775,1,2026-05-31T08:03:03.908001Z
S022,1,51,240,normal,785,1,2026-05-31T08:03:05.934040Z
S022,1,52,0,normal,531,1,2026-05-31T08:03:08.733804Z
S022,1,53,120,mirror,906,1,2026-05-31T08:03:11.725933Z
S022,1,54,180,mirror,1171,1,2026-05-31T08:03:14.718003Z
S022,1,55,180,mirror,1165,1,2026-05-31T08:03:16.783666Z
S022,1,56,240,mirror,915,1,2026-05-31T08:03:19.206904Z
S022,1,57,300,mirror,851,1,2026-05-31T08:03:21.926581Z
S022,1,58,240,mirror,952,1,2026-05-31T08:03:24.446406Z
S022,1,59,300,normal,691,1,2026-05-31T08:03:26.470186Z
S022,1,60,120,normal,873,1,2026-05-31T08:03:29.285382Z
S022,1,61,240,normal,917,1,2026-05-31T08:03:32.174235Z
S022,1,62,60,normal,698,1,2026-05-31T08:03:34.423189Z
S022,1,63,300,mirror,898,1,2026-05-31T08:03:37.343703Z
S022,1,64,240,normal,825,1,2026-05-31T08:03:39.537707Z
S022,1,65,0,mirror,610,1,2026-05-31T08:03:41.628238Z
S022,1,66,0,normal,616,1,2026-05-31T08:03:43.906837Z
S022,1,67,300,normal,645,1,2026-05-31T08:03:46.764896Z
S022,1,68,300,mirror,770,1,2026-05-31T08:03:48.925623Z
S022,1,69,180,normal,1102,1,2026-05-31T08:03:51.776264Z
S022,1,70,120,mirror,944,1,2026-05-31T08:03:54.577969Z
S022,1,71,0,normal,662,1,2026-05-31T08:03:56.918445Z
S022,1,72,300,normal,715,1,2026-05-31T08:03:59.384427Z
S022,1,73,0,normal,601,1,2026-05-31T08:04:02.311861Z
S022,1,74,0,mirror,650,1,2026-05-31T08:04:04.610371Z
S022,1,75,60,mirror,845,1,2026-05-31T08:04:07.497933Z
S022,1,76,240,normal,731,1,2026-05-31T08:04:10.065443Z
S022,1,77,120,mirror,1045,1,2026-05-31T08:04:12.222707Z
S022,1,78,240,mirror,926,1,2026-05-31T08:04:14.640133Z
S022,1,79,0,mirror,609,1,2026-05-31T08:04:16.790646Z
S022,1,80,180,mirror,1155,1,2026-05-31T08:04:19.565818Z
S022,1,81,120,normal,933,1,2026-05-31T08:04:21.807223Z
S022,1,82,300,normal,794,1,2026-05-31T08:04:24.332128Z
S022,1,83,300,normal,757,1,2026-05-31T08:04:27.067967Z
S022,1,84,120,mirror,1024,0,2026-05-31T08:04:29.226440Z
S022,1,85,60,mirror,732,1,2026-05-31T08:04:32.000577Z
S022,1,86,300,mirror,776,1,2026-05-31T08:04:34.442889Z
S022,1,87,60,mirror,740,1,2026-05-31T08:04:37.401325Z
S022,1,88,60,mirror,806,1,2026-05-31T08:04:40.090332Z
S022,1,89,180,mirror,1000,1,2026-05-31T08:04:42.827561Z
S022,1,90,0,normal,617,1,2026-05-31T08:04:45.585311Z
S022,1,91,120,normal,851,1,2026-05-31T08:04:47.860552Z
S022,1,92,180,normal,1045,1,2026-05-31T08:04:50.836101Z
S022,1,93,120,mirror,939,1,2026-05-31T08:04:52.911902Z
S022,1,94,300,normal,743,1,2026-05-31T08:04:54.982811Z
S022,1,95,180,normal,934,1,2026-05-31T08:04:57.008745Z
S022,1,96,120,mirror,886,1,2026-05-31T08:04:59.884881Z
S022,1,97,300,mirror,789,1,2026-05-31T08:05:02.091552Z
S022,1,98,0,normal,543,1,2026-05-31T08:05:04.642339Z
S022,1,99,120,normal,863,1,2026-05-31T08:05:06.753071Z
S022,1,100,180,mirror,1167,1,2026-05-31T08:05:09.520230Z
S022,1,101,60,mirror,760,1,2026-05-31T08:05:12.050514Z
S022,1,102,0,mirror,550,1,2026-05-31T08:05:14.472612Z
S022,1,103,0,mirror,702,1,2026-05-31T08:05:17.173853Z
S022,1,104,60,mirror,962,1,2026-05-31T08:05:20.055932Z
S022,1,105,240,mirror,976,1,2026-05-31T08:05:22.739555Z
S022,1,106,240,normal,853,1,2026-05-31T08:05:25.023663Z
S022,1,107,180,normal,1056,1,2026-05-31T08:05:27.995375Z
S022,1,108,180,normal,1123,1,2026-05-31T08:05:30.024785Z
S022,1,109,240,mirror,919,1,2026-05-31T08:05:32.664324Z
S022,1,110,300,normal,812,1,2026-05-31T08:05:34.951285Z
S022,1,111,120,normal,965,1,2026-05-31T08:05:37.072358Z
S022,1,112,180,mirror,1203,1,2026-05-31T08:05:40.057519Z
S022,1,113,300,mirror,773,1,2026-05-31T08:05:42.475699Z
S022,1,114,300,normal,708,1,2026-05-31T08:05:44.991422Z
S022,1,115,240,mirror,920,1,2026-05-31T08:05:47.166642Z
S022,1,116,240,mirror,933,1,2026-05-31T08:05:49.416967Z
S022,1,117,180,normal,1080,1,2026-05-31T08:05:51.525485Z
S022,1,118,300,normal,743,1,2026-05-31T08:05:53.934514Z
S022,1,119,60,normal,585,1,2026-05-31T08:05:56.269014Z
S022,1,120,0,mirror,681,1,2026-05-31T08:05:58.424811Z
S022,2,1,0,normal,514,1,2026-05-31T08:08:00.565935Z
S022,2,2,300,normal,764,1,2026-05-31T08:08:03.176008Z
S022,2,3,60,mirror,799,1,2026-05-31T08:08:05.347178Z
S022,2,4,60,mirror,742,1,2026-05-31T08:08:08.242941Z
S022,2,5,60,normal,720,1,2026-05-31T08:08:10.998023Z
S022,2,6,60,mirror,828,1,2026-05-31T08:08:13.926174Z
S022,2,7,180,normal,1059,0,2026-05-31T08:08:16.057425Z
S022,2,8,120,mirror,1016,0,2026-05-31T08:08:18.751380Z
S022,2,9,60,normal,662,1,2026-05-31T08:08:20.850196Z
S022,2,10,240,normal,852,1,2026-05-31T08:08:23.229739Z
S022,2,11,300,mirror,704,1,2026-05-31T08:08:25.864757Z
S022,2,12,240,normal,882,1,2026-05-31T08:08:28.454211Z
S022,2,13,240,mirror,1013,1,2026-05-31T08:08:30.752007Z
S022,2,14,180,mirror,1166,1,2026-05-31T08:08:32.947343Z
S022,2,15,180,normal,1174,1,2026-05-31T08:08:35.414109Z
S022,2,16,240,mirror,980,1,2026-05-31T08:08:38.076637Z
S022,2,17,180,mirror,1105,1,2026-05-31T08:08:40.426950Z
S022,2,18,240,normal,868,1,2026-05-31T08:08:43.093577Z
S022,2,19,60,mirror,766,1,2026-05-31T08:08:45.806548Z
S022,2,20,180,mirror,1165,0,2026-05-31T08:08:48.573028Z
S022,2,21,240,mirror,908,1,2026-05-31T08:08:51.328202Z
S022,2,22,120,normal,910,1,2026-05-31T08:08:54.200015Z
S022,2,23,180,normal,1101,1,2026-05-31T08:08:56.358228Z
S022,2,24,180,mirror,1125,1,2026-05-31T08:08:59.198084Z
